a,b,profit,start
"[6.0, 15.0, 21.0, 27.0]",2562,-4.291911822,-88.53517362
"[6.0, 15.0, 21.0, 24.0]",1428,-5.587345938,-86.37917367
"[6.0, 13.0, 21.0, 27.0]",2562,-4.28939961,-88.45240156
"[6.0, 13.0, 21.0, 24.0]",1426,-5.599102384,-86.4887798
"[6.0, 13.0, 15.0, 27.0]",2573,-3.879188034,-88.91609946
"[6.0, 13.0, 15.0, 24.0]",1437,-5.055734168,-86.94144746
"[6.0, 13.0, 15.0, 21.0]",2897,-8.736276743,-85.93126639
"[6.0, 11.0, 21.0, 27.0]",2628,-4.541782592,-86.27479285
"[6.0, 11.0, 21.0, 24.0]",1457,-6.041310014,-84.34631687
"[6.0, 11.0, 15.0, 27.0]",2576,-3.880151339,-88.81879705
"[6.0, 11.0, 15.0, 24.0]",1438,-5.05174548,-86.88779555
"[6.0, 11.0, 15.0, 21.0]",2900,-8.732109617,-85.84791796
"[6.0, 11.0, 13.0, 27.0]",2580,-3.880127758,-88.60625242
"[6.0, 11.0, 13.0, 24.0]",1439,-5.041348158,-86.82997915
"[6.0, 11.0, 13.0, 21.0]",2904,-8.722074303,-85.66519436
"[6.0, 11.0, 13.0, 15.0]",2920,-8.266104074,-86.08073605
"[6.0, 9.0, 21.0, 27.0]",2558,-4.298025801,-88.67803362
"[6.0, 9.0, 21.0, 24.0]",1423,-5.597378777,-86.67808152
"[6.0, 9.0, 15.0, 27.0]",2572,-3.899195179,-88.9670451
"[6.0, 9.0, 15.0, 24.0]",1435,-5.04087108,-87.07891986
"[6.0, 9.0, 15.0, 21.0]",2895,-8.749944732,-86.01499136
"[6.0, 9.0, 13.0, 27.0]",2573,-3.902343568,-88.93790906
"[6.0, 9.0, 13.0, 24.0]",1435,-5.04087108,-87.07891986
"[6.0, 9.0, 13.0, 21.0]",2896,-8.751066989,-85.99012431
"[6.0, 9.0, 13.0, 15.0]",2918,-8.279180946,-86.16395476
"[6.0, 9.0, 11.0, 27.0]",2575,-3.888469903,-88.8652233
"[6.0, 9.0, 11.0, 24.0]",1435,-5.04087108,-87.07891986
"[6.0, 9.0, 11.0, 21.0]",2899,-8.747723353,-85.88472232
"[6.0, 9.0, 11.0, 15.0]",2918,-8.279180946,-86.16395476
"[6.0, 9.0, 11.0, 13.0]",2919,-8.280455635,-86.13923261
"[5.0, 17.0, 21.0, 27.0]",1944,0.209621212,98.07065657
"[5.0, 16.0, 21.0, 27.0]",1589,-3.331760243,127.9620941
"[5.0, 16.0, 17.0, 27.0]",1594,-1.610891239,127.2273716
"[5.0, 16.0, 17.0, 21.0]",1584,-2.638989362,127.702196
"[5.0, 14.0, 21.0, 27.0]",1654,-3.079766764,126.7754009
"[5.0, 14.0, 17.0, 27.0]",1659,-1.481358025,126.163435
"[5.0, 14.0, 17.0, 21.0]",1650,-2.413934307,126.5240146
"[5.0, 14.0, 16.0, 27.0]",1574,-2.527393293,128.7601677
"[5.0, 14.0, 16.0, 21.0]",1565,-3.512030651,129.152636
"[5.0, 14.0, 16.0, 17.0]",1570,-1.830221374,128.5002977
"[5.0, 11.0, 21.0, 27.0]",1652,5.077113851,53.67291516
"[5.0, 10.0, 21.0, 27.0]",1730,-0.908332175,117.2435928
"[5.0, 10.0, 17.0, 27.0]",1740,-0.287676838,117.5480652
"[5.0, 10.0, 17.0, 21.0]",1730,-1.223793584,117.9298187
"[5.0, 10.0, 16.0, 27.0]",1592,-1.618509834,127.4191301
"[5.0, 10.0, 16.0, 21.0]",1582,-2.648219178,127.8958447
"[5.0, 10.0, 16.0, 17.0]",1592,-1.618509834,127.4191301
"[5.0, 10.0, 14.0, 27.0]",1658,-1.493728198,126.2614753
"[5.0, 10.0, 14.0, 21.0]",1649,-2.427048941,126.6228196
"[5.0, 10.0, 14.0, 17.0]",1658,-1.493728198,126.2614753
"[5.0, 10.0, 14.0, 16.0]",1569,-1.843491215,128.6051413
"[4.0, 11.0, 21.0, 27.0]",1609,1.381825726,-34.78128038
"[3.0, 13.0, 15.0, 21.0]",1409,-18.95724414,-84.10378545
"[3.0, 11.0, 15.0, 21.0]",1431,-19.31788063,-81.95649817
"[3.0, 11.0, 13.0, 21.0]",1412,-18.94905846,-83.91118154
"[3.0, 11.0, 13.0, 15.0]",1424,-18.41456601,-84.1450978
"[3.0, 6.0, 11.0, 21.0]",1300,-20.09524951,-79.8290862
