1,2,3,4,5,6,7,8,9,10,11,start,end,code,biao
4,7,10,11,14,16,17,21,26,27,35,0,-26,8uqq7nj7,1
4,7,10,12,14,16,17,21,25,27,35,0,-22.01,037gym6i,1
4,7,10,12,14,16,17,21,25,27,31,0,-18.05,c1h7bw1a,1
4,7,10,12,14,15,17,21,25,27,35,0,-16.01,h78j7j8m,1
4,7,10,12,14,16,17,21,25,27,31,0,-14.25,fpeptlxo,1
4,7,10,12,14,16,17,21,26,27,35,0,-13.5,hk4udpqv,1
4,7,10,11,13,15,17,21,25,27,35,0,-12.2,gowws5qf,1
4,7,10,12,14,16,17,21,25,27,35,0,-11.39,tkz7zh9u,1
4,6,10,11,14,16,17,21,25,27,35,0,-8.46,a60k5i9w,1
4,7,10,12,14,16,17,21,25,27,35,0,-6.08,i6gy2wgj,1
4,7,10,12,13,16,17,21,25,27,32,0,-5.7,n7vpemz2,1
4,7,10,12,14,16,17,21,24,27,32,0,-5.6,jwexfmub,1
4,7,10,11,14,16,17,21,25,27,33,0,-5.51,hhrookd2,1
4,7,10,12,14,16,17,21,25,27,32,0,-3.7,f6t1qroy,1
4,7,10,11,14,16,17,21,24,27,30,0,-2.7,pdtmhm69,1
4,7,10,12,14,16,17,21,24,27,35,0,-1.6,nn97tpch,1
4,7,10,12,14,16,17,21,24,27,34,0,-1.31,0j3nkqts,1
4,7,10,12,14,16,17,21,24,27,33,0,-1.21,u0fm0adl,1
4,7,10,12,13,15,17,21,24,27,35,0,1.84,57n9cs6z,1
4,7,10,11,14,16,17,21,24,27,34,0,3.04,5zc86wny,1
4,7,10,11,14,15,17,21,24,27,31,0,3.36,p7c86bd0,1
4,7,10,12,14,16,17,21,23,27,35,0,3.5,d67hp72e,1
4,7,10,11,14,16,17,21,24,27,29,0,3.6,lqy09jik,1
4,7,10,12,14,16,17,21,24,27,30,0,3.64,luq8s82b,1
4,7,10,11,14,16,17,21,24,27,35,0,4,v74p7xt0,1
4,7,10,12,14,15,17,21,23,27,35,0,5.54,074xligf,1
4,7,10,12,14,16,17,21,24,27,35,0,5.8,9t5yap6j,1
4,7,10,11,14,16,17,21,24,27,35,0,6.04,8takecva,1
4,7,10,12,14,16,17,21,24,27,31,0,8.46,jbz1y5sl,1
4,7,10,12,14,16,17,21,24,27,35,0,8.57,fkw475f4,1
4,7,10,11,13,15,17,21,23,27,35,0,9.7,387fhffi,1
4,7,10,12,13,15,17,21,24,27,35,0,13.9,gfrptkuf,1
4,7,10,12,14,16,17,21,23,27,30,0,14.08,jj2wn94h,1
4,7,10,12,14,16,17,21,24,27,32,0,14.28,q5n6k41z,1
4,7,10,11,14,16,17,21,24,27,35,0,14.29,5s59rl9r,1
4,7,10,12,14,16,17,21,26,27,29,0,-23.58,k93onftx,1
4,7,10,12,14,16,17,21,26,27,33,0,-16.33,idr031u6,1
4,7,10,11,14,16,17,21,25,27,33,0,-14.68,czeeddwe,1
4,7,10,11,14,16,17,21,25,27,35,0,-12.03,ubop1qmx,1
4,7,10,12,14,16,17,21,25,27,35,0,0.59,dqtauj4v,1
4,7,10,12,14,16,17,21,24,27,33,0,6,t5fns0sq,1
4,7,10,12,14,16,17,21,23,27,34,0,6.1,oiwrp35s,1
4,7,10,12,14,16,17,21,24,27,31,0,8.37,1yemb6kz,1
4,7,10,12,14,16,17,21,24,27,35,0,10.16,mh3nw2gr,1
4,7,10,11,14,16,17,21,23,27,33,0,10.48,m9hu5tku,1
4,7,10,12,14,16,17,21,24,27,31,0,10.56,26ovv9nz,1
4,7,10,12,14,16,17,21,24,27,33,0,13.15,1eydd0jj,1
4,7,10,12,14,16,17,21,24,27,35,0,15.07,4qopg1ub,1
4,7,10,11,13,15,17,21,23,27,30,0,15.6,bptmjh3d,1
4,7,10,12,14,16,17,21,26,27,31,0,-21.16,sca5toky,1
4,7,10,12,14,16,17,21,24,27,34,0,-2.57,xxrcf92l,1
4,7,10,12,14,16,17,21,25,27,35,0,1.73,cdxl50hf,1
4,7,10,11,14,15,17,21,24,27,32,0,3.16,yaiqosbx,1
4,7,10,12,14,16,17,21,24,27,35,0,4.18,2dxnce3p,1
4,7,10,12,14,16,17,21,25,27,35,0,4.29,26qqxpjj,1
4,7,10,12,14,16,17,21,24,27,35,0,4.43,g990zma5,1
4,7,10,12,14,16,17,21,24,27,30,0,5.33,xp91b3qj,1
4,7,10,12,14,16,17,21,24,27,35,0,6.92,8b7ikkdg,1
4,7,10,12,14,16,17,21,23,27,32,0,8.92,8tid5gfd,1
4,7,10,12,14,16,17,21,24,27,31,0,12.58,7voc4ywi,1
4,8,10,12,14,16,17,21,25,27,32,0,12.62,7qaw85j9,1
4,7,10,11,14,16,17,21,23,27,30,0,14.06,v3tqtmd8,1
4,7,10,12,14,16,17,21,24,27,31,0,15.79,lcruc2lq,1
4,7,10,12,14,16,17,21,24,27,35,0,16.53,0tv4w4i5,1
4,7,10,12,14,16,17,21,24,27,35,0,17.84,8fqgkizh,1
4,7,10,12,14,16,17,21,24,27,35,0,18,tl39jvsk,1
4,7,10,11,14,16,17,21,24,27,35,0,20.97,y7ezhr8w,1
4,7,10,12,14,16,17,21,23,27,35,0,22.88,h7b871s6,1
4,7,10,11,13,16,17,21,23,27,35,0,23.35,11e94pe7,1
4,8,10,12,14,16,17,21,24,27,35,0,24.46,xe3765ql,1
4,8,10,11,14,16,17,21,23,27,35,0,29.14,kpo7dpw7,1
4,7,10,11,14,16,17,21,25,27,33,0,-4.68,nbmjj5a1,1
4,7,10,12,14,16,17,21,25,27,31,0,-3.64,8s1edw15,1
4,7,10,12,14,16,17,21,25,27,31,0,-3.15,w9vla1hv,1
4,7,10,12,14,15,17,21,24,27,33,0,21.12,ytgj1t65,1
4,7,10,12,14,16,17,21,24,27,31,0,21.18,v5p7lv20,1
4,7,10,11,14,16,17,21,23,27,35,0,22.74,u1m4seev,1
5,7,10,12,14,16,17,21,26,27,35,0,-19.64,bi13mblu,1
5,7,10,12,14,16,17,21,24,27,34,0,15.52,s270rho2,1
5,7,10,12,14,16,17,21,23,27,35,0,19.9,z0rxrnnq,1
3,6,9,11,13,15,18,21,24,28,35,-17.45,-54.31,c1h7bw1a,2
3,6,9,11,13,15,18,21,26,28,33,-36,-99.6,c3206739,2
3,6,9,11,13,15,18,21,25,28,31,-36,-97,xluifzfl,2
3,6,9,11,13,15,20,21,25,28,31,-34.08,-95.08,42bbeqpm,2
3,6,9,11,13,15,20,21,25,28,31,-17,-77.8,zca7zxyf,2
3,6,9,11,13,15,17,21,25,28,35,-10.79,-68.65,tkz7zh9u,2
3,6,9,11,13,15,17,21,25,28,31,-5,-59.4,4qo41x6y,2
3,6,9,11,13,15,19,21,24,28,35,-51,-103.4,vedi2q2d,2
3,6,9,11,13,15,18,21,24,28,35,-9,-60,plvgf0eg,2
3,6,9,11,13,15,18,21,25,28,31,-32.5,-81.9,j1e40ha7,2
3,6,9,11,13,15,17,21,25,28,35,-5.51,-54.91,hhrookd2,2
3,6,9,11,13,15,19,21,24,28,35,-2.35,-49.68,0g7sv439,2
3,6,9,11,13,15,20,21,23,28,31,1.36,-45.54,8s1edw15,2
3,6,9,11,13,15,19,21,24,28,32,-15.5,-61.9,qdpt3asx,2
3,6,9,11,13,15,17,21,24,28,31,17.47,-26.17,4qopg1ub,2
3,6,9,11,13,15,18,21,24,28,34,-32,-73.4,8yww2xfk,2
