code,biao,Work_type,Work_profit,Health_type,Health_profit,Repay_type,Repay_profit,Loan_type,Loan_profit,Investment_type,Investment_profit,Venture_type,Venture_profit,Insurance_type,Insurance_profit,Lottery_type,Lottery_profit,Disaster_type,Disaster_profit,Ill_type,Ill_profit,Preference_type,Preference_profit,Patience_type,Patience_profit,start,end,profit,cash_before_patience,patience_profit,realend,realprofit
qrj0woux,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-10,3,-50,1,11.4,0,11.8,-58.1,-91.9,-33.8,-103.7,11.8,-91.9,-33.8
edydbr11,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,1,-15,6,0,1,7,-41,-51,-10,-58,7,-51,-10
i3ugntg2,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,3,-50,5,2.4,1,0,-26.9,-57.5,-30.6,-57.5,0,-57.5,-30.6
nil7z8nt,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,1,-15,2,14.4,0,5,-6.5,-18.1,-11.6,-23.1,5,-18.1,-11.6
i3wgnab9,3,0,9,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,2,4.8,0,11.2,-41.7,-22.7,19,-33.9,11.2,-22.7,19
7rmwik5s,3,0,-6,1,-5,1,-5.06,0,0,1,0.75,1,0,1,-0.843,1,-1,0,0,1,-7,5,19.2,0,11.8,23.74,30.59,6.85,18.79,11.8,30.59,6.85
mzj836b0,3,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,6,0,1,6.8,-14.6,-38.8,-24.2,-45.6,6.8,-38.8,-24.2
1gblxsq7,3,0,15,1,-5,0,0,1,12.8,1,2,1,30,1,-7.04,0,0,0,0,1,-7,6,0,1,0,15.6,56.36,40.76,56.36,0,56.36,40.76
t9m6tgki,3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,1,5.4,1,5.2,-49.7,-73.1,-23.4,-78.3,5.2,-73.1,-23.4
4hjk8ew7,3,0,6,1,-5,0,0,1,1.46,1,0.2,1,-4,1,-0.496,1,-2,0,0,1,-7,6,0,1,0,6.3,-4.54,-10.84,-4.54,0,-4.54,-10.84
luq8s82b,3,0,9,1,-5,1,-0.836,0,0,0,0,1,15,1,-3.6594,1,-1,0,0,1,-7,2,14.4,1,6.8,18.43,46.13,27.7,39.33,6.8,46.13,27.7
96b2y1fq,3,0,3,0,0,0,0,0,0,0,0,1,0.75,1,-0.125,0,0,0,0,1,-15,5,2.4,0,5,-2.5,-6.47,-3.97,-11.47,5,-6.47,-3.97
iuy2mq1n,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,0,0,1,11.4,0,11.8,-35,6.2,41.2,-5.6,11.8,6.2,41.2
zca7zxyf,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-15,2,14.4,1,0,-77.8,-76.4,1.4,-76.4,0,-76.4,1.4
jj2wn94h,3,0,27,1,-5,1,-3.3,0,0,1,0.5,1,-2,1,-2.095,1,-1,0,0,3,-35,1,11.4,0,11.8,3.75,6.06,2.31,-5.74,11.8,6.06,2.31
68araqh7,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,0,0,2,4.8,1,0,-40.8,-35,5.8,-35,0,-35,5.8
zzpnlqei,3,0,18,1,-5,1,0,1,1.2,0,0,1,1.5,1,-0.47,0,0,0,0,1,-7,6,24,0,5,-11,26.23,37.23,21.23,5,26.23,37.23
